iter	RMSE
0	1.389848334
1	1.358774224
2	1.328913968
3	1.300715942
4	1.277669402
5	1.253698129
6	1.227878779
7	1.208563824
8	1.185239441
9	1.162402852
10	1.140718154
11	1.119776675
12	1.104204589
13	1.089623675
14	1.070568948
15	1.052410925
16	1.035433052
17	1.019420238
18	1.007832925
19	0.9930826942
20	0.9786929383
21	0.9689539848
22	0.9554668088
23	0.9456351774
24	0.9341209533
25	0.9231182082
26	0.9153604276
27	0.9046374723
28	0.8969342892
29	0.8872467485
30	0.8779796551
31	0.8689395324
32	0.860380676
33	0.8524846362
34	0.845030695
35	0.8378234422
36	0.8342780388
37	0.8287349121
38	0.8236318208
39	0.8195598377
40	0.8141293592
41	0.8087608881
42	0.8073684294
43	0.801981295
44	0.7983010455
45	0.7944960374
46	0.7917681458
47	0.7885905572
48	0.7869087376
49	0.7849612117
50	0.7804233909
51	0.7768853746
52	0.7743347999
53	0.7717462025
54	0.7692219814
55	0.7667428106
56	0.765208017
57	0.7638024628
58	0.7607816135
59	0.7579754809
60	0.7560533156
61	0.7542294348
62	0.7526817497
63	0.7521744019
64	0.7498934992
65	0.747668925
66	0.7460889363
67	0.744561523
68	0.7424276818
69	0.7409437804
70	0.739744186
71	0.7389919457
72	0.7387609933
73	0.7377149842
74	0.736722497
75	0.7366373933
76	0.735605873
77	0.7344972169
78	0.7331611211
79	0.7317389583
80	0.7306073879
81	0.7291919654
82	0.7278155227
83	0.7268379519
84	0.7259741104
85	0.7256899515
86	0.7243890319
87	0.7241366413
88	0.723285397
89	0.7226938584
90	0.7224747364
91	0.7218233606
92	0.7217206649
93	0.7212430041
94	0.7209439498
95	0.7206788752
96	0.7202239882
97	0.7189309263
98	0.7182507305
99	0.7177484815
100	0.7175305236
101	0.7174856646
102	0.7174437847
103	0.7170559681
104	0.7167943857
105	0.7159805053
106	0.7154709923
107	0.7150876362
108	0.7145520658
109	0.714400413
110	0.7134989818
111	0.7132214154
112	0.7124882532
113	0.7121293465
114	0.7113246851
115	0.7107842542
116	0.7102335867
117	0.709710734
118	0.7095001525
119	0.7089247708
120	0.7087776793
121	0.708299979
122	0.7080431313
123	0.7073539496
124	0.7066250035
125	0.7060797799
126	0.7059257212
127	0.7054002039
128	0.7053149591
129	0.7052352189
130	0.7046034303
131	0.7043090407
132	0.7040098908
133	0.7035344966
134	0.703120652
135	0.7029581557
136	0.7026255019
137	0.7022481
138	0.702140347
139	0.7020816821
140	0.7019362261
141	0.7017881346
142	0.7017275925
143	0.7015506374
144	0.7012757661
145	0.7012283585
146	0.700947939
147	0.7004004658
148	0.7000470956
149	0.6998083699
150	0.6994225918
151	0.6990900998
152	0.6986685965
153	0.6981233066
154	0.6978906815
155	0.6974978188
156	0.6974408254
157	0.6974131083
158	0.6971277322
159	0.6969712903
160	0.6967324647
161	0.6967320328
162	0.6963896286
163	0.6963448998
164	0.6962529548
165	0.6960645908
166	0.696064232
167	0.6958550219
168	0.6956587149
169	0.6955161577
170	0.6952058118
171	0.6949964557
172	0.6947668575
173	0.6944306806
174	0.6941897791
175	0.693901114
176	0.6936223977
177	0.6933596132
178	0.693349903
179	0.6930266767
180	0.6929617967
181	0.692725344
182	0.6924861664
183	0.6923640059
184	0.6922288442
185	0.6919219433
186	0.6915564722
187	0.691240023
188	0.6909883476
189	0.6907535456
190	0.6905610408
191	0.6905432501
192	0.6904131517
193	0.690387454
194	0.6900018546
195	0.6899605104
196	0.6899090189
197	0.6896914082
198	0.6895237505
199	0.6893416893
200	0.6892128318
201	0.6890911162
202	0.6890318576
203	0.6889537926
204	0.6888027154
205	0.6885680034
206	0.6885636049
207	0.688545813
208	0.6883132675
209	0.6881906346
210	0.6879722953
211	0.6878718148
212	0.6876534065
213	0.6875362746
214	0.6873582496
215	0.6871410337
216	0.6870013322
217	0.6869294035
218	0.6867528348
219	0.6867528276
220	0.6865950711
221	0.6863354383
222	0.6860609326
223	0.6859371003
224	0.6858645854
225	0.6857932561
226	0.6855882751
227	0.6853507939
228	0.685200048
229	0.6851087859
230	0.6849508306
231	0.6847538386
232	0.6846557969
233	0.6845076795
234	0.6844010654
235	0.6841682773
236	0.6839886638
237	0.6838416838
238	0.6837237747
239	0.6836295966
240	0.6835637622
241	0.6834469352
242	0.6833500132
243	0.6832628717
244	0.6831572128
245	0.6830396341
246	0.6828226205
247	0.682699987
248	0.6825956836
249	0.6824972675
250	0.6823909765
251	0.6823168484
252	0.6821882722
253	0.6820391414
254	0.6818641732
255	0.6817491514
256	0.6816370595
257	0.6815292694
258	0.6813540968
259	0.6812825189
260	0.6811603327
261	0.6810739386
262	0.6809159214
263	0.6808434277
264	0.6807339628
265	0.680616431
266	0.6805532335
