iter	Passed	Remaining
0	2	2233
1	4	2016
2	5	1963
3	8	2065
4	9	1986
5	12	1988
6	13	1915
7	14	1836
8	16	1836
9	18	1819
10	20	1818
11	21	1793
12	23	1767
13	24	1727
14	26	1713
15	27	1706
16	30	1740
17	32	1767
18	33	1747
19	35	1759
20	37	1745
21	38	1711
22	40	1702
23	42	1712
24	43	1708
25	46	1730
26	48	1738
27	50	1737
28	52	1747
29	54	1759
30	56	1751
31	58	1761
32	60	1785
33	63	1792
34	64	1786
35	66	1786
36	67	1765
37	69	1768
38	71	1765
39	72	1750
40	75	1760
41	77	1760
42	78	1752
43	80	1758
44	82	1754
45	84	1752
46	86	1744
47	89	1767
48	89	1742
49	90	1719
50	91	1701
51	92	1685
52	93	1665
53	94	1650
54	95	1633
55	96	1620
56	97	1612
57	98	1599
58	100	1610
59	102	1605
60	103	1591
61	104	1581
62	105	1565
63	105	1548
64	107	1542
65	108	1530
66	108	1516
67	109	1503
68	110	1493
69	111	1486
70	114	1496
71	115	1492
72	116	1480
73	118	1479
74	119	1472
75	120	1461
76	121	1452
77	122	1448
78	123	1441
79	125	1441
80	127	1449
81	129	1451
82	132	1461
83	133	1456
84	134	1448
85	135	1436
86	136	1429
87	136	1417
88	137	1409
89	139	1410
90	140	1399
91	140	1390
92	141	1378
93	142	1370
94	142	1361
95	143	1351
96	144	1345
97	145	1337
98	146	1331
99	147	1325
100	147	1317
101	148	1308
102	149	1297
103	150	1292
104	151	1289
105	153	1295
106	156	1302
107	157	1298
108	158	1291
109	158	1284
110	159	1280
111	160	1275
112	161	1270
113	162	1266
114	165	1271
115	165	1264
116	166	1259
117	167	1255
118	169	1251
119	170	1246
120	170	1241
121	172	1238
122	172	1233
123	174	1229
124	174	1223
125	175	1219
126	177	1223
127	179	1222
128	180	1218
129	181	1211
130	182	1208
131	183	1205
132	183	1199
133	185	1195
134	185	1190
135	186	1184
136	187	1179
137	188	1175
138	188	1170
139	189	1166
140	190	1162
141	191	1158
142	192	1152
143	193	1148
144	194	1147
145	195	1140
146	195	1136
147	196	1133
148	198	1131
149	198	1127
150	199	1122
151	200	1119
152	201	1115
153	202	1111
154	204	1115
155	205	1111
156	206	1106
157	206	1102
158	208	1100
159	209	1097
160	210	1094
161	210	1088
162	211	1085
163	211	1080
164	212	1076
165	213	1073
166	214	1068
167	214	1064
168	216	1065
169	217	1062
170	218	1060
171	219	1057
172	220	1053
173	221	1051
174	222	1049
175	223	1046
176	224	1044
177	225	1043
178	227	1042
179	228	1043
180	229	1039
181	230	1036
182	231	1034
183	232	1031
184	233	1028
185	234	1025
186	235	1022
187	236	1020
188	236	1016
189	237	1014
190	238	1011
191	240	1010
192	241	1009
193	242	1006
194	243	1003
195	243	1000
196	244	997
197	245	994
198	246	991
199	247	989
200	248	986
201	249	983
202	249	981
203	250	977
204	251	974
205	252	971
206	252	968
207	253	967
208	255	965
209	256	963
210	257	961
211	258	959
212	259	957
213	259	954
214	260	952
215	261	950
216	262	948
217	263	946
218	264	944
219	265	940
220	266	938
221	267	938
222	268	937
223	270	935
224	270	933
225	271	931
226	272	929
227	273	927
228	274	925
229	275	923
230	276	921
231	277	920
232	279	920
233	281	920
234	282	918
235	283	916
236	284	914
237	284	912
238	285	910
239	286	907
240	287	905
241	288	902
242	289	900
243	290	899
244	291	899
245	295	904
246	296	902
247	297	900
248	298	899
249	299	897
250	300	896
251	301	894
252	302	892
253	303	889
254	303	887
255	304	886
256	306	885
257	308	886
258	309	884
259	309	882
260	310	880
261	311	878
262	312	876
263	313	874
264	316	877
265	317	876
266	318	874
267	319	873
268	321	873
269	322	871
270	323	869
271	324	867
272	325	865
273	326	863
274	326	861
275	327	859
276	328	857
277	329	855
278	330	853
279	331	851
280	332	849
281	333	849
282	334	848
283	335	846
284	336	844
285	337	843
286	338	841
287	339	839
288	340	837
289	341	835
290	342	834
291	343	833
292	344	831
293	346	831
294	347	831
295	348	829
296	349	827
297	350	826
298	351	824
299	352	822
300	353	820
301	354	818
302	355	817
303	356	815
304	357	814
305	358	812
306	360	814
307	362	813
308	363	811
309	364	810
310	365	808
311	366	807
312	367	805
313	367	803
314	369	803
315	370	801
316	371	799
317	372	798
318	373	798
319	374	796
320	376	795
321	376	793
322	377	792
323	378	790
324	379	788
325	380	787
326	381	786
327	383	784
328	383	783
329	384	781
330	386	781
331	387	780
332	388	778
333	389	777
334	390	775
335	391	774
336	392	772
337	393	770
338	394	769
339	395	768
340	396	766
341	397	765
342	398	763
343	400	762
344	401	761
345	402	760
346	403	758
347	404	757
348	405	755
349	406	754
350	407	752
351	408	751
352	408	749
353	409	747
354	410	746
355	411	744
356	413	744
357	414	743
358	415	741
359	416	739
360	417	738
361	418	736
362	419	735
363	419	733
364	420	732
365	422	731
366	422	729
367	423	728
368	424	726
369	425	725
370	427	724
371	428	723
372	429	722
373	430	720
374	431	719
375	432	717
376	433	716
377	434	715
378	435	713
379	436	712
380	437	710
381	438	709
382	441	711
383	444	712
384	445	711
